rebalance_date,IC,Rolling Avg
1/31/2000,0.056001041,
2/29/2000,-0.146711945,
3/31/2000,-0.038964317,
4/28/2000,0.071668866,
5/31/2000,0.163816751,
6/30/2000,0.004651463,
7/31/2000,-0.098475416,
8/31/2000,-0.198783379,
9/29/2000,-0.287022916,
10/31/2000,-0.27645163,
11/30/2000,-0.308477763,
12/29/2000,-0.351813205,
1/31/2001,-0.406651905,
2/28/2001,-0.203412166,
3/30/2001,-0.026451806,
4/30/2001,-0.158481013,
5/31/2001,-0.275780641,
6/29/2001,-0.278396141,
7/31/2001,-0.22466666,
8/31/2001,0.108211362,
9/28/2001,0.130077035,
10/31/2001,-0.026765121,
11/30/2001,-0.362111277,
12/31/2001,-0.310251098,
1/31/2002,-0.305279508,
2/28/2002,-0.094311181,
3/28/2002,-0.078481975,
4/30/2002,0.096764421,
5/31/2002,0.093543465,
6/28/2002,0.13989786,
7/31/2002,0.131122239,
8/30/2002,0.1597605,
9/30/2002,0.02344674,
10/31/2002,-0.052913387,
11/29/2002,0.114855807,
12/31/2002,0.232726744,
1/31/2003,0.081873337,
2/28/2003,-0.198335095,
3/31/2003,-0.179887883,
4/30/2003,-0.113734878,
5/30/2003,0.012084305,
6/30/2003,-0.004445244,
7/31/2003,-0.028608645,
8/29/2003,-0.028565301,
9/30/2003,-0.084490552,
10/31/2003,-0.13539865,
11/28/2003,-0.087699776,
12/31/2003,-0.059209591,
1/30/2004,-0.157809803,
2/27/2004,-0.049992367,
3/31/2004,-0.024109877,
4/30/2004,-0.122771454,
5/28/2004,-0.234555199,
6/30/2004,-0.215604188,
7/30/2004,2.44E-05,
8/31/2004,-0.114077835,
9/30/2004,-0.037458936,
10/29/2004,-0.107352365,
11/30/2004,-0.076156036,
12/31/2004,-0.184740437,
1/31/2005,-0.086911198,
2/28/2005,-0.004919653,
3/31/2005,-0.040472898,
4/29/2005,-0.050174168,
5/31/2005,-0.09247759,
6/30/2005,-0.062430888,
7/29/2005,0.010053625,
8/31/2005,0.078124274,
9/30/2005,0.06864467,
10/31/2005,0.003214776,
11/30/2005,0.009406371,
12/30/2005,0.001716563,
1/31/2006,-0.056594423,
2/28/2006,-0.177531498,
3/31/2006,-0.171461895,
4/28/2006,-0.10407903,
5/31/2006,-0.069786046,
6/30/2006,0.035861291,
7/31/2006,0.050341681,
8/31/2006,-0.032511556,
9/29/2006,-0.012831199,
10/31/2006,-0.037331539,
11/30/2006,-0.000308099,
12/29/2006,-0.059252867,
1/31/2007,-0.115013947,
2/28/2007,-0.183431202,
