"rebalance_date","Advertising Agencies","Aerospace & Defense","Agricultural Inputs","Airlines","Apparel Manufacturing","Apparel Retail","Asset Management","Auto & Truck Dealerships","Auto Manufacturers","Auto Parts","Banks - Diversified","Banks - Regional","Beverages - Brewers","Beverages - Non-Alcoholic","Beverages - Wineries & Distilleries","Biotechnology","Broadcasting","Building Materials","Building Products & Equipment","Business Equipment & Supplies","Capital Markets","Chemicals","Communication Equipment","Computer Hardware","Confectioners","Consulting Services","Consumer Electronics","Credit Services","Department Stores","Diagnostics & Research","Discount Stores","Drug Manufacturers - General","Drug Manufacturers - Specialty & Generic","Education & Training Services","Electrical Equipment & Parts","Electronic Components","Electronic Gaming & Multimedia","Engineering & Construction","Entertainment","Farm & Heavy Construction Machinery","Farm Products","Financial Data & Stock Exchanges","Footwear & Accessories","Furnishings, Fixtures & Appliances","Grocery Stores","Health Care Plans","Healthcare Plans","Home Improvement Retail","Household & Personal Products","Industrial Distribution","Information Technology Services","Insurance - Diversified","Insurance - Life","Insurance - Property & Casualty","Insurance - Specialty","Insurance Brokers","Integrated Freight & Logistics","Internet Content & Information","Internet Retail","Leisure","Lodging","Luxury Goods","Media - Diversified","Medical Care Facilities","Medical Devices","Medical Distribution","Medical Instruments & Supplies","Oil & Gas Drilling","Oil & Gas E&P","Oil & Gas Equipment & Services","Oil & Gas Integrated","Oil & Gas Midstream","Oil & Gas Refining & Marketing","Other Industrial Metals & Mining","Packaged Foods","Packaging & Containers","Paper & Paper Products","Personal Services","Pharmaceutical Retailers","Publishing","Railroads","REIT - Healthcare Facilities","REIT - Industrial","REIT - Mortgage","REIT - Office","REIT - Residential","REIT - Retail","REIT - Specialty","Rental & Leasing Services","Residential Construction","Resorts & Casinos","Restaurants","Scientific & Technical Instruments","Security & Protection Services","Semiconductor Equipment & Materials","Semiconductors","Software - Application","Software - Infrastructure","Specialty Business Services","Specialty Chemicals","Specialty Industrial Machinery","Specialty Retail","Staffing & Employment Services","Steel","Telecom Services","Thermal Coal","Tobacco","Tools & Accessories","Travel Services","Utilities - Diversified","Utilities - Regulated Electric","Utilities - Regulated Gas","Waste Management"
2000-01-31,0.5,0.107142857142857,NA,1,-1,-0.5,0,NA,NA,0.8,0.8,-0.35187969924812,-1,-0.5,-1,-0.107142857142857,-0.2,-1,1,0.5,-1,-0.571428571428571,0.257142857142857,0.454545454545455,NA,NA,1,-0.5,0.5,0.142857142857143,0.771428571428572,0.0285714285714286,NA,NA,1,-0.5,NA,-1,0.5,-1,NA,NA,-1,1,0,NA,0.6,NA,-0.371428571428571,NA,-0.0857142857142857,-1,0.657142857142857,0.392857142857143,-1,1,NA,NA,NA,1,NA,NA,NA,-1,-0.257142857142857,1,1,NA,0.261904761904762,-0.4,-1,0.1,-0.5,-1,-0.0714285714285714,-0.6,0.5,0.5,-0.5,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,-1,-0.5,-1,-0.4,NA,NA,-0.8,-0.316666666666667,-0.266666666666667,-0.5,NA,-0.103030303030303,-0.0607142857142857,0.45,1,0.5,0.727272727272727,-1,-1,-0.4,NA,0.321428571428571,-0.226470588235294,-0.2,-1
2000-02-29,-1,-0.0714285714285714,NA,-1,-1,-0.5,-0.5,NA,NA,-0.3,0.2,0.0631578947368421,-1,0.5,-1,0.392857142857143,0.4,1,1,0.5,0.6,-0.214285714285714,0.0857142857142857,-0.472727272727273,NA,NA,-1,-0.2,0.5,-0.0857142857142857,-0.0285714285714286,0.142857142857143,NA,NA,1,0.5,NA,1,0.5,1,NA,NA,-1,1,1,NA,0,NA,-0.485714285714286,NA,-0.142857142857143,-1,-0.0857142857142857,-0.178571428571429,1,-1,NA,NA,NA,0.5,NA,NA,NA,1,-0.6,1,-0.5,NA,0.476190476190476,-0.2,-1,-0.4,-0.5,-1,0.25,-0.5,0.1,-1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,-1,-0.5,1,0,NA,NA,-1,-0.383333333333333,-0.383333333333333,-0.5,NA,-0.0545454545454545,0.221428571428571,0.0333333333333333,-1,1,-0.190909090909091,1,-1,-0.4,NA,-0.464285714285714,-0.185294117647059,-1,-1
2000-03-31,0.4,0,NA,-1,-1,-0.2,-0.4,NA,1,-1,0.8,0.0385375494071146,-1,0.5,-1,0.107142857142857,0.6,1,1,1,-0.9,-0.464285714285714,-0.535714285714286,0.290909090909091,NA,-1,-1,0.9,0.5,-0.485714285714286,0.2,-0.485714285714286,NA,NA,1,1,NA,-1,-0.5,1,NA,NA,-1,-1,0.8,NA,0,NA,-0.142857142857143,NA,-0.371428571428571,1,0,-0.642857142857143,-1,-1,NA,NA,NA,0.5,NA,NA,NA,-1,-0.535714285714286,1,-0.5,1,0.619047619047619,-0.6,1,0,0,-1,-0.1,0.0714285714285714,0.1,-1,1,-0.6,0.5,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-0.2,NA,NA,-1,-0.43030303030303,-0.648484848484848,-0.5,NA,-0.103030303030303,0.1,-0.490909090909091,1,-0.5,-0.13986013986014,1,-1,-0.8,1,0.607142857142857,-0.425974025974026,-0.4,1
2000-04-28,0.2,0,NA,1,1,0.8,-0.6,NA,NA,-0.5,0.2,0.0158102766798419,-1,1,1,0.0285714285714286,0.6,1,1,-1,-0.6,-0.75,0.0714285714285714,0.318181818181818,NA,1,-1,0.3,0.7,-0.0857142857142857,0.542857142857143,-0.371428571428571,NA,NA,1,1,NA,1,0.5,0.5,NA,NA,1,1,0.6,NA,-0.8,NA,0.428571428571429,NA,0.0857142857142857,-1,-0.607142857142857,-0.535714285714286,-1,-1,NA,NA,NA,0.5,NA,NA,NA,1,-0.0357142857142857,-1,0.5,1,0.119047619047619,-0.8,1,0.4,0.8,-1,-0.433333333333333,-0.928571428571428,-0.1,-1,0.5,-0.6,-0.1,NA,NA,NA,NA,NA,NA,NA,-1,-0.5,-1,0.4,NA,NA,-0.8,-0.245454545454545,-0.272727272727273,-0.5,NA,0.127272727272727,0.135714285714286,-0.266666666666667,1,0.5,-0.125874125874126,1,-1,-0.4,1,0.142857142857143,-0.00779220779220779,-0.4,1
2000-05-31,-0.4,0.178571428571429,NA,1,-1,-0.8,0.4,NA,NA,0.5,0.8,-0.121400338791643,-1,-1,1,0.257142857142857,0.5,1,1,-0.5,0.8,-0.642857142857143,-0.428571428571428,0.515151515151515,NA,1,1,-0.2,0.9,0.0857142857142857,0.428571428571429,0.0857142857142857,NA,NA,1,1,NA,1,-0.5,-1,NA,NA,-1,1,0.142857142857143,NA,-0.2,NA,-0.0857142857142857,NA,0.142857142857143,1,-0.178571428571429,-0.714285714285714,-1,1,NA,NA,NA,-0.5,NA,NA,NA,1,0.285714285714286,-1,1,NA,0.19047619047619,-0.5,1,0.8,-0.5,-1,-0.65,-0.214285714285714,-0.3,1,0.5,-0.4,-0.2,NA,NA,NA,NA,NA,NA,NA,-1,0.5,-1,-0.2,NA,NA,0,0.032967032967033,0.245454545454545,1,NA,0.2,0.2,-0.283333333333333,1,-0.5,0.218181818181818,-1,-1,-0.8,-1,0.535714285714286,0.252631578947368,-0.4,-1
2000-06-30,-0.8,-0.214285714285714,NA,1,-1,-1,0,NA,NA,-0.4,0.6,-0.033596837944664,1,-0.5,-1,0.2,-1,1,1,-1,0.4,0.107142857142857,-0.571428571428571,0.418181818181818,NA,-1,-1,-0.3,1,0.0285714285714286,-0.6,-0.485714285714286,NA,NA,-1,-0.2,NA,1,-1,-1,NA,NA,-1,1,0.371428571428571,NA,0.4,NA,-0.771428571428571,NA,-0.257142857142857,-1,0.285714285714286,-1,1,1,NA,NA,NA,0.5,NA,NA,NA,1,0.571428571428571,-1,1,NA,-0.142857142857143,1,1,0,-0.5,1,-0.55,0.285714285714286,-0.8,1,0.5,-0.4,0.1,NA,NA,NA,NA,NA,NA,NA,-1,-0.5,-1,-0.6,NA,NA,-0.8,0.63956043956044,0.216783216783217,0.5,NA,0.175757575757576,0.310714285714286,-0.2,1,-1,-0.05,NA,-1,0.4,1,0.571428571428571,0.219298245614035,-1,1
2000-07-31,0.6,0.178571428571429,NA,1,-1,-0.8,-0.8,NA,NA,-0.5,-0.4,0.141304347826087,1,0.5,-1,0.2,-1,1,1,-0.5,0.3,0.642857142857143,-0.380952380952381,0.284848484848485,NA,-1,-1,0.8,-0.7,-0.142857142857143,-0.485714285714286,-0.6,NA,NA,-0.5,-0.8,NA,-1,-1,0.5,NA,NA,-1,-1,0.428571428571429,NA,0.4,NA,-0.657142857142857,NA,-0.885714285714286,-1,0.214285714285714,-0.178571428571429,1,-1,NA,NA,NA,1,NA,NA,NA,-1,0.285714285714286,1,0.5,NA,0.428571428571428,1,1,0,0.5,1,-0.616666666666667,0.571428571428571,0,1,1,-0.6,-1,NA,NA,NA,NA,NA,NA,NA,1,-0.5,-1,-0.6,NA,NA,-0.4,0.498901098901099,0.286713286713287,-0.5,NA,-0.163636363636364,0.0535714285714286,-0.183333333333333,-1,-0.5,-0.9,NA,-1,0.8,-1,0.0714285714285714,0.150877192982456,-0.4,-1
2000-08-31,-0.2,0.642857142857143,NA,1,1,-0.2,-0.8,NA,NA,-0.9,0.4,0.0879446640316206,-1,0.5,-1,-0.142857142857143,-0.5,-1,1,0.5,-0.2,0.607142857142857,0.0166666666666667,-0.163636363636364,NA,-1,-1,0.9,-0.6,-0.142857142857143,0.314285714285714,-0.0285714285714286,NA,NA,-0.5,-0.8,NA,-1,-0.5,0.5,NA,NA,-1,-1,0.657142857142857,NA,-0.4,NA,-0.257142857142857,NA,-0.942857142857143,1,-0.178571428571429,-0.214285714285714,-1,1,NA,NA,NA,-0.5,NA,NA,NA,1,0.285714285714286,-1,-1,1,-0.178571428571429,1,1,0,0.5,1,-0.416666666666667,0.321428571428571,0.4,-1,1,-0.6,-0.8,NA,NA,NA,NA,NA,NA,NA,1,-1,-1,-0.2,NA,NA,0.2,-0.032967032967033,-0.115384615384615,0.5,NA,0.478787878787879,-0.228571428571429,-0.35,1,-1,-0.9,NA,1,0.4,-1,-0.5,-0.0300751879699248,-0.2,-1
2000-09-29,0.4,0.428571428571428,NA,1,1,0.4,0,NA,NA,-0.1,-0.6,0.270750988142292,-1,-0.5,-1,-0.371428571428571,-1,-1,1,-0.5,-0.3,0.214285714285714,-0.35,-0.248484848484848,NA,-1,-1,1,-0.8,-0.214285714285714,0.142857142857143,-0.0857142857142857,NA,NA,-0.5,-0.2,NA,1,-0.5,0.5,NA,NA,-1,-1,0.828571428571429,NA,0,NA,0.371428571428571,NA,-0.942857142857143,1,0.714285714285714,0.107142857142857,-1,1,NA,NA,NA,-0.5,NA,NA,NA,1,0.357142857142857,-1,0.5,-1,0.321428571428571,1,-1,0,-0.5,1,-0.35,0.214285714285714,-0.6,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,1,0.5,-1,0.6,NA,NA,-0.8,0.156043956043956,-0.406593406593407,1,NA,0.103030303030303,-0.603571428571428,-0.583333333333333,-1,-1,-0.65,NA,1,0.2,-1,-0.428571428571428,0.0571428571428571,0.1,1
2000-10-31,0.5,-0.464285714285714,NA,1,-1,0.2,0.4,NA,NA,-0.3,-0.8,0.217391304347826,-1,-0.5,-1,-0.428571428571428,-1,NA,-1,-0.5,-0.1,-0.285714285714286,-0.5,-0.321212121212121,NA,1,-1,0.7,-0.3,-0.0857142857142857,-0.6,0.714285714285714,NA,NA,-1,-0.4,NA,-1,-1,-0.5,NA,NA,1,1,-0.3,NA,0.6,NA,0.428571428571429,NA,-0.828571428571429,1,-0.178571428571429,-0.321428571428571,1,-1,NA,NA,NA,-0.5,NA,NA,NA,1,-0.107142857142857,-1,-0.5,-0.5,-0.119047619047619,0.5,-1,0,-0.5,-1,-0.166666666666667,-0.75,0,-1,-1,-0.4,0.6,NA,NA,NA,NA,NA,NA,NA,-1,-0.5,1,-0.3,NA,NA,-0.8,-0.169230769230769,-0.802197802197802,-1,NA,0.406060606060606,-0.321428571428571,-0.633333333333333,-1,-1,0.25,NA,1,-0.8,-1,0.178571428571429,0.0180451127819549,0.4,-1
