rebalance_date,IC,Rolling Avg (12M)
1/31/2000,0.00221801,
2/29/2000,-0.21954567,
3/31/2000,-0.018420718,
4/28/2000,0.000441939,
5/31/2000,0.083888137,
6/30/2000,-0.171560237,
7/31/2000,-0.120062738,
8/31/2000,-0.163365442,
9/29/2000,-0.246148104,
10/31/2000,-0.291650618,
11/30/2000,-0.351305206,
12/29/2000,-0.329784187,-0.152107903
1/31/2001,-0.380239689,-0.183979378
2/28/2001,-0.181607832,-0.180817891
3/30/2001,-0.032134901,-0.18196074
4/30/2001,-0.170422665,-0.196199457
5/31/2001,-0.255657353,-0.224494914
6/29/2001,-0.226428334,-0.229067256
7/31/2001,-0.121779172,-0.229210292
8/31/2001,0.186010118,-0.200095662
9/28/2001,0.230705121,-0.160357893
10/31/2001,0.016130857,-0.134709437
11/30/2001,-0.297415648,-0.13021864
12/31/2001,-0.259605233,-0.124370394
1/31/2002,-0.355618848,-0.122318658
2/28/2002,-0.198233481,-0.123704128
3/28/2002,-0.151572646,-0.133657274
4/30/2002,0.078834964,-0.112885805
5/31/2002,0.086053375,-0.084409911
6/28/2002,0.172346712,-0.051178657
7/31/2002,0.175425383,-0.026411611
8/30/2002,0.127768794,-0.031265054
9/30/2002,-0.027810754,-0.052808044
10/31/2002,-0.132674474,-0.065208488
11/29/2002,0.057211152,-0.035656255
12/31/2002,0.131414611,-0.003071268
1/31/2003,-0.011255888,0.025625646
2/28/2003,-0.263149518,0.020215976
3/31/2003,-0.320259184,0.006158764
4/30/2003,-0.195428915,-0.016696559
5/30/2003,-0.037908375,-0.027026705
6/30/2003,-0.041478116,-0.04484544
7/31/2003,0.00818374,-0.058782244
8/29/2003,0.012622351,-0.068377781
9/30/2003,-0.06166536,-0.071198998
10/31/2003,-0.175196771,-0.074742523
11/28/2003,-0.249514317,-0.100302979
12/31/2003,-0.115055626,-0.120842165
1/30/2004,-0.011555411,-0.120867125
2/27/2004,0.063962704,-0.093607773
3/31/2004,0.030933444,-0.064341721
4/30/2004,-0.183771351,-0.063370257
5/28/2004,-0.232561184,-0.079591325
6/30/2004,-0.196344319,-0.092496842
7/30/2004,-0.069036378,-0.098931852
8/31/2004,-0.101627962,-0.108452711
9/30/2004,-0.109694205,-0.112455115
10/29/2004,-0.105649286,-0.106659491
11/30/2004,-0.0199567,-0.08752969
12/31/2004,-0.054800983,-0.082508469
1/31/2005,-0.035812181,-0.084529867
2/28/2005,-0.069235405,-0.095629709
3/31/2005,-0.151220397,-0.110809196
4/29/2005,-0.090086491,-0.103002124
5/31/2005,-0.075674683,-0.089928249
6/30/2005,-0.06607818,-0.079072738
7/29/2005,-0.056023511,-0.077988332
8/31/2005,-0.018093269,-0.071027108
9/30/2005,-0.021753896,-0.063698749
10/31/2005,-0.035981576,-0.057893106
11/30/2005,-0.056787641,-0.060962351
12/30/2005,-0.031792504,-0.059044978
1/31/2006,-0.100498198,-0.064435479
2/28/2006,-0.119052936,-0.06858694
3/31/2006,-0.128331178,-0.066679505
4/28/2006,-0.097678323,-0.067312158
5/31/2006,-0.054550287,-0.065551792
6/30/2006,-0.033713437,-0.06285473
7/31/2006,0.04679803,-0.054286268
8/31/2006,-0.01858582,-0.054327314
9/29/2006,-0.090933118,-0.060092249
10/31/2006,-0.072977413,-0.063175235
11/30/2006,-0.073313014,-0.06455235
12/29/2006,0.045564587,-0.058105926
1/31/2007,0.023871452,-0.047741788
