"rebalance_date","Advertising Agencies","Aerospace & Defense","Agricultural Inputs","Airlines","Apparel Manufacturing","Apparel Retail","Asset Management","Auto & Truck Dealerships","Auto Manufacturers","Auto Parts","Banks - Diversified","Banks - Regional","Beverages - Brewers","Beverages - Non-Alcoholic","Beverages - Wineries & Distilleries","Biotechnology","Broadcasting","Building Materials","Building Products & Equipment","Business Equipment & Supplies","Capital Markets","Chemicals","Communication Equipment","Computer Hardware","Confectioners","Consulting Services","Consumer Electronics","Credit Services","Department Stores","Diagnostics & Research","Discount Stores","Drug Manufacturers - General","Drug Manufacturers - Specialty & Generic","Education & Training Services","Electrical Equipment & Parts","Electronic Components","Electronic Gaming & Multimedia","Engineering & Construction","Entertainment","Farm & Heavy Construction Machinery","Farm Products","Financial Data & Stock Exchanges","Footwear & Accessories","Furnishings, Fixtures & Appliances","Grocery Stores","Health Care Plans","Healthcare Plans","Home Improvement Retail","Household & Personal Products","Industrial Distribution","Information Technology Services","Insurance - Diversified","Insurance - Life","Insurance - Property & Casualty","Insurance - Specialty","Insurance Brokers","Integrated Freight & Logistics","Internet Content & Information","Internet Retail","Leisure","Lodging","Luxury Goods","Media - Diversified","Medical Care Facilities","Medical Devices","Medical Distribution","Medical Instruments & Supplies","Oil & Gas Drilling","Oil & Gas E&P","Oil & Gas Equipment & Services","Oil & Gas Integrated","Oil & Gas Midstream","Oil & Gas Refining & Marketing","Other Industrial Metals & Mining","Packaged Foods","Packaging & Containers","Paper & Paper Products","Personal Services","Pharmaceutical Retailers","Publishing","Railroads","REIT - Healthcare Facilities","REIT - Industrial","REIT - Mortgage","REIT - Office","REIT - Residential","REIT - Retail","REIT - Specialty","Rental & Leasing Services","Residential Construction","Resorts & Casinos","Restaurants","Scientific & Technical Instruments","Security & Protection Services","Semiconductor Equipment & Materials","Semiconductors","Software - Application","Software - Infrastructure","Specialty Business Services","Specialty Chemicals","Specialty Industrial Machinery","Specialty Retail","Staffing & Employment Services","Steel","Telecom Services","Thermal Coal","Tobacco","Tools & Accessories","Travel Services","Utilities - Diversified","Utilities - Regulated Electric","Utilities - Regulated Gas","Waste Management"
2000-01-31,3,7,NA,2,2,3,5,NA,2,4,4,21,2,3,2,8,4,2,2,3,5,8,6,12,NA,NA,2,6,5,6,6,6,NA,NA,2,3,NA,2,3,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,6,7,2,2,NA,NA,NA,3,NA,NA,NA,3,6,2,3,NA,8,4,2,5,3,2,7,5,5,3,3,4,5,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,NA,NA,4,9,9,3,NA,10,15,9,2,3,11,2,2,4,NA,7,16,4,2
2000-02-29,4,7,NA,2,2,3,5,NA,2,5,4,21,2,3,2,8,4,2,2,3,5,8,6,12,NA,NA,2,6,5,6,6,6,NA,NA,2,3,NA,2,3,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,6,7,2,2,NA,NA,NA,3,NA,NA,NA,3,6,2,3,NA,8,4,2,4,3,2,7,5,5,3,3,4,5,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,NA,NA,4,9,9,3,NA,10,15,9,2,3,11,2,2,4,NA,7,16,4,2
2000-03-31,5,7,NA,2,2,4,5,NA,2,5,4,23,2,3,2,8,4,2,2,3,5,8,7,12,NA,2,2,6,5,6,6,6,NA,NA,2,3,NA,2,3,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,2,8,4,2,4,4,2,9,7,5,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,NA,NA,4,10,10,3,NA,10,15,10,2,3,12,2,2,4,2,7,21,4,2
2000-04-28,5,7,NA,2,2,4,5,NA,2,5,4,23,2,3,2,7,4,2,2,3,4,8,7,12,NA,2,2,6,5,6,6,6,NA,NA,2,3,NA,2,3,3,NA,NA,2,2,6,NA,4,NA,6,NA,6,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,2,8,4,2,4,4,2,9,7,5,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,NA,NA,4,11,11,3,NA,10,15,9,2,3,12,2,2,4,2,7,21,4,2
2000-05-31,5,7,NA,2,2,4,5,NA,2,5,4,23,2,3,2,7,3,2,2,3,4,8,8,12,NA,2,2,6,5,6,6,6,NA,NA,2,3,NA,2,3,3,NA,NA,2,2,6,NA,4,NA,6,NA,7,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,2,8,3,2,4,3,2,9,7,5,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,NA,NA,4,13,12,3,NA,10,15,9,2,3,11,2,2,4,2,7,21,4,2
2000-06-30,5,7,NA,2,2,4,5,NA,2,5,4,24,2,3,2,7,3,2,2,3,4,8,8,11,NA,2,2,6,5,6,6,6,NA,NA,3,4,NA,2,3,3,NA,NA,2,2,6,NA,4,NA,6,NA,6,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,2,8,3,2,4,3,2,9,7,4,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,2,3,2,5,NA,NA,4,14,13,3,NA,10,15,9,2,3,9,NA,2,4,2,7,20,4,2
2000-07-31,5,7,NA,2,2,4,5,NA,2,5,4,24,2,3,2,7,3,2,2,3,5,8,9,11,NA,2,2,7,5,6,6,6,NA,NA,3,4,NA,2,3,3,NA,NA,2,2,6,NA,4,NA,6,NA,6,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,2,7,3,2,4,3,2,9,7,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,2,5,NA,NA,4,14,13,3,NA,10,15,9,2,3,9,NA,2,4,2,7,20,4,2
2000-08-31,5,7,NA,2,2,4,5,NA,2,5,4,24,2,3,2,7,3,2,2,3,5,8,9,11,NA,2,2,7,5,6,6,6,NA,NA,3,4,NA,2,3,3,NA,NA,2,2,6,NA,4,NA,6,NA,6,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,2,7,3,2,4,3,2,9,7,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,2,5,NA,NA,4,14,13,3,NA,10,15,9,2,3,9,NA,2,4,2,7,20,5,2
2000-09-29,5,7,NA,2,2,4,5,NA,2,5,4,24,2,3,2,7,3,2,2,3,5,8,9,11,NA,2,2,7,5,7,6,6,NA,NA,3,4,NA,2,3,3,NA,NA,2,2,6,NA,4,NA,6,NA,6,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,2,7,3,2,4,3,2,9,7,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,2,5,NA,NA,4,14,13,3,NA,10,15,9,2,3,9,NA,2,4,2,7,20,5,2
2000-10-31,3,7,NA,2,2,4,5,NA,2,5,4,24,2,3,2,8,3,NA,2,3,5,8,9,11,NA,2,2,7,5,6,6,6,NA,NA,3,4,NA,2,3,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,3,8,3,2,4,3,2,8,7,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,2,5,NA,NA,4,14,13,3,NA,10,15,9,2,3,9,NA,2,4,2,7,20,5,2
2000-11-30,3,7,NA,2,2,4,5,NA,2,5,4,24,2,3,2,10,3,NA,2,3,4,8,9,10,NA,2,2,7,5,6,6,6,NA,NA,4,4,NA,2,3,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,7,7,2,2,NA,NA,NA,3,NA,NA,NA,3,7,2,3,3,9,3,2,3,3,2,8,7,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,14,14,3,NA,10,15,9,2,3,9,NA,2,4,2,7,19,4,2
2000-12-29,3,7,NA,2,NA,4,5,NA,2,5,4,24,2,3,NA,10,3,NA,2,3,4,8,10,10,NA,2,2,6,5,6,6,6,NA,NA,4,4,NA,2,3,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,3,2,4,3,2,7,6,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,15,15,3,NA,9,15,9,3,2,9,NA,2,4,2,7,19,4,2
2001-01-31,3,7,NA,2,NA,4,5,NA,2,5,4,24,2,3,NA,10,3,NA,2,3,4,8,10,10,NA,2,2,6,5,6,6,6,NA,NA,4,4,NA,2,2,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,3,2,4,3,2,7,6,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,16,15,3,NA,9,15,9,3,2,9,NA,2,4,2,7,19,4,2
2001-02-28,3,7,NA,2,NA,4,5,NA,2,5,4,24,2,3,NA,10,4,NA,2,3,4,8,10,10,NA,2,2,6,5,6,6,6,NA,NA,4,5,NA,2,2,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,3,2,3,3,2,7,6,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,16,15,3,NA,8,15,9,3,2,9,NA,2,4,2,7,19,4,2
2001-03-30,3,7,NA,2,NA,4,5,NA,2,5,4,23,2,3,NA,10,4,NA,2,3,4,8,10,10,NA,2,2,6,5,6,6,6,NA,NA,4,5,NA,2,2,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,3,2,3,3,2,7,6,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,16,15,3,2,8,15,9,3,2,9,NA,2,4,2,7,19,4,2
2001-04-30,3,7,NA,2,NA,4,5,NA,2,5,4,23,2,3,NA,10,4,NA,2,3,4,8,10,10,NA,NA,2,6,5,6,6,6,NA,NA,4,5,NA,2,2,3,NA,NA,2,2,5,NA,4,NA,6,NA,6,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,3,2,3,3,2,7,6,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,16,15,4,2,8,15,9,3,2,9,NA,2,4,2,7,19,4,2
2001-05-31,3,7,NA,2,NA,4,5,NA,2,5,4,22,2,3,NA,10,4,NA,2,3,4,8,10,10,NA,NA,2,6,5,6,6,6,NA,NA,4,5,NA,2,2,3,NA,NA,2,2,5,NA,4,NA,6,NA,7,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,3,2,3,3,2,7,6,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,16,15,4,2,8,15,9,3,2,9,NA,2,4,2,7,19,4,2
2001-06-29,3,7,NA,2,NA,4,5,NA,2,5,4,23,2,3,2,9,4,NA,2,3,4,8,10,10,NA,NA,2,5,5,6,6,6,NA,NA,4,5,NA,2,2,3,NA,NA,2,2,5,NA,4,NA,6,NA,7,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,2,2,3,3,2,7,6,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,16,15,4,2,8,15,9,4,2,9,NA,2,4,2,7,19,4,2
2001-07-31,3,7,NA,2,NA,4,5,NA,2,5,4,23,2,3,2,9,4,NA,2,3,4,8,10,10,NA,NA,2,5,5,6,6,6,NA,NA,4,5,NA,2,2,3,NA,NA,2,2,5,NA,4,NA,6,NA,7,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,2,2,3,3,2,7,6,3,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,16,15,4,2,8,15,9,4,2,9,NA,2,4,2,7,19,4,2
2001-08-31,3,7,NA,2,NA,4,5,NA,2,5,4,23,2,3,2,9,4,NA,2,3,4,8,9,10,NA,NA,2,5,5,6,7,6,NA,NA,4,5,NA,2,2,3,NA,NA,2,2,5,NA,4,NA,6,NA,7,2,7,7,3,2,NA,NA,NA,3,NA,NA,NA,3,8,2,3,3,9,2,2,3,3,2,7,6,3,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,NA,NA,4,17,15,4,2,8,15,9,4,2,9,NA,2,4,2,7,19,4,2
