"rebalance_date","Advertising Agencies","Aerospace & Defense","Agricultural Inputs","Airlines","Apparel Manufacturing","Apparel Retail","Asset Management","Auto & Truck Dealerships","Auto Manufacturers","Auto Parts","Banks - Diversified","Banks - Regional","Beverages - Brewers","Beverages - Non-Alcoholic","Beverages - Wineries & Distilleries","Biotechnology","Broadcasting","Building Materials","Building Products & Equipment","Business Equipment & Supplies","Capital Markets","Chemicals","Communication Equipment","Computer Hardware","Confectioners","Consulting Services","Consumer Electronics","Credit Services","Department Stores","Diagnostics & Research","Discount Stores","Drug Manufacturers - General","Drug Manufacturers - Specialty & Generic","Education & Training Services","Electrical Equipment & Parts","Electronic Components","Electronic Gaming & Multimedia","Engineering & Construction","Entertainment","Farm & Heavy Construction Machinery","Farm Products","Financial Data & Stock Exchanges","Footwear & Accessories","Furnishings, Fixtures & Appliances","Grocery Stores","Health Care Plans","Healthcare Plans","Home Improvement Retail","Household & Personal Products","Industrial Distribution","Information Technology Services","Insurance - Diversified","Insurance - Life","Insurance - Property & Casualty","Insurance - Specialty","Insurance Brokers","Integrated Freight & Logistics","Internet Content & Information","Internet Retail","Leisure","Lodging","Luxury Goods","Media - Diversified","Medical Care Facilities","Medical Devices","Medical Distribution","Medical Instruments & Supplies","Oil & Gas Drilling","Oil & Gas E&P","Oil & Gas Equipment & Services","Oil & Gas Integrated","Oil & Gas Midstream","Oil & Gas Refining & Marketing","Other Industrial Metals & Mining","Packaged Foods","Packaging & Containers","Paper & Paper Products","Personal Services","Pharmaceutical Retailers","Publishing","Railroads","REIT - Healthcare Facilities","REIT - Industrial","REIT - Mortgage","REIT - Office","REIT - Residential","REIT - Retail","REIT - Specialty","Rental & Leasing Services","Residential Construction","Resorts & Casinos","Restaurants","Scientific & Technical Instruments","Security & Protection Services","Semiconductor Equipment & Materials","Semiconductors","Software - Application","Software - Infrastructure","Specialty Business Services","Specialty Chemicals","Specialty Industrial Machinery","Specialty Retail","Staffing & Employment Services","Steel","Telecom Services","Thermal Coal","Tobacco","Tools & Accessories","Travel Services","Utilities - Diversified","Utilities - Regulated Electric","Utilities - Regulated Gas","Waste Management"
2000-01-31,0.5,0.321428571428571,NA,1,1,-0.5,0.6,NA,1,0,0.8,0.0987012987012987,-1,-0.5,1,0.0952380952380952,-0.2,-1,1,0.5,1,-0.0476190476190476,-0.485714285714286,0.685314685314685,NA,NA,1,-0.428571428571429,0.3,-0.0857142857142857,0.771428571428571,0.0285714285714286,NA,NA,1,-0.5,NA,-1,0.5,-1,NA,NA,1,1,0.1,NA,0.6,NA,-0.485714285714286,NA,-0.371428571428571,-1,0.657142857142857,0.0714285714285714,-1,1,NA,NA,NA,-0.5,NA,NA,NA,1,0.2,-1,1,NA,-0.5,0.4,1,0.1,-0.5,1,0.285714285714286,-0.8,0.9,0.5,0.5,0.4,0,NA,NA,NA,NA,NA,NA,NA,-1,-0.5,1,0.2,NA,NA,-0.8,-0.583333333333333,0.183333333333333,-0.5,NA,-0.236363636363636,-0.0821428571428571,0.266666666666667,1,-0.5,0.327272727272727,-1,-1,-0.2,NA,0.142857142857143,-0.0911764705882353,-0.4,1
2000-02-29,-0.8,0,NA,-1,1,-0.5,-0.3,NA,-1,-0.7,0.8,0.372727272727273,-1,-1,-1,0.261904761904762,0.4,1,1,0.5,-0.3,-0.119047619047619,-0.485714285714286,0.00699300699300699,NA,NA,-1,-0.657142857142857,0.3,-0.0285714285714286,-0.0285714285714286,0.142857142857143,NA,NA,1,0.5,NA,1,0.5,1,NA,NA,1,1,0.7,NA,0,NA,-0.485714285714286,NA,-0.428571428571429,-1,-0.0857142857142857,0.0357142857142857,1,-1,NA,NA,NA,-0.5,NA,NA,NA,0.5,-0.0857142857142857,1,-0.5,NA,-0.19047619047619,0.8,1,-0.8,-0.5,1,0.428571428571428,-0.8,0.3,-1,0.5,-0.4,-0.2,NA,NA,NA,NA,NA,NA,NA,-1,0.5,-1,-0.4,NA,NA,-1,-0.516666666666667,-0.133333333333333,-0.5,NA,-0.187878787878788,-0.139285714285714,0.233333333333333,-1,-0.5,0.463636363636364,1,-1,-0.4,NA,-0.75,0.182352941176471,-0.8,1
2000-03-31,0.2,0.357142857142857,NA,-1,-1,-0.2,-0.4,NA,-1,-0.5,0.8,0.0256916996047431,-1,-1,-1,0.19047619047619,0.8,1,1,1,-0.3,-0.380952380952381,-0.75,0.377622377622378,NA,-1,-1,-0.257142857142857,0.3,-0.542857142857143,0.0285714285714286,-0.657142857142857,NA,NA,1,1,NA,-1,-0.5,1,NA,NA,1,-1,0.3,NA,0,NA,-0.257142857142857,NA,-0.0285714285714286,1,-0.428571428571428,-0.214285714285714,-1,-1,NA,NA,NA,-1,NA,NA,NA,0.5,-0.142857142857143,1,-1,1,0.476190476190476,0.2,1,-0.4,0.8,1,-0.1,0.214285714285714,0.3,-1,0.5,-0.8,-0.2,NA,NA,NA,NA,NA,NA,NA,1,-1,1,0.4,NA,NA,-1,-0.587878787878788,-0.466666666666667,-0.5,NA,-0.0303030303030303,0.114285714285714,-0.212121212121212,1,-0.5,0.594405594405594,1,-1,-0.8,1,-0.464285714285714,-0.158441558441558,-0.8,1
2000-04-28,0.1,0.642857142857143,NA,1,1,0.8,-0.1,NA,-1,-0.7,0.8,-0.198616600790514,-1,-0.5,1,0.107142857142857,0.8,1,1,-1,-0.8,-0.595238095238095,-0.321428571428571,0.503496503496504,NA,-1,-1,-0.257142857142857,0.3,-0.2,0.257142857142857,-0.542857142857143,NA,NA,1,1,NA,1,0.5,0.5,NA,NA,-1,1,0.485714285714286,NA,-0.8,NA,0.542857142857143,NA,0.371428571428571,-1,-0.678571428571428,-0.678571428571428,-1,-1,NA,NA,NA,0.5,NA,NA,NA,0.5,0.178571428571429,-1,-0.5,1,-0.142857142857143,0.4,1,-0.6,-0.2,1,-0.483333333333333,-0.857142857142857,0,-1,1,-0.8,0.9,NA,NA,NA,NA,NA,NA,NA,1,-1,-1,0.8,NA,NA,-0.8,-0.1,-0.290909090909091,-0.5,NA,0.163636363636364,0.128571428571429,-0.283333333333333,1,-0.5,0.384615384615385,1,-1,-0.4,1,0.607142857142857,0.177922077922078,-0.4,1
2000-05-31,-0.3,0.428571428571428,NA,1,-1,-0.8,0.1,NA,1,-0.6,-0.2,0.0958498023715415,-1,0.5,1,0.428571428571428,0.5,1,1,-0.5,-0.8,0.0238095238095238,-0.238095238095238,0.741258741258741,NA,1,1,-0.0857142857142857,0.1,0.0857142857142857,0.371428571428571,0.0857142857142857,NA,NA,1,1,NA,1,-0.5,-1,NA,NA,1,1,-0.0857142857142857,NA,-0.2,NA,-0.0285714285714286,NA,0.464285714285714,1,0,-0.75,-1,1,NA,NA,NA,1,NA,NA,NA,-1,0.142857142857143,-1,1,1,-0.0476190476190476,-0.5,1,-0.4,-0.5,-1,-0.816666666666667,-0.178571428571429,-0.3,1,1,-0.4,0.1,NA,NA,NA,NA,NA,NA,NA,1,0.5,-1,-0.2,NA,NA,0,0.126373626373626,0.377622377622378,1,NA,0.284848484848485,0.121428571428571,-0.383333333333333,1,-0.5,-0.572727272727273,-1,-1,-0.8,-1,0.142857142857143,0.175324675324675,-0.2,-1
2000-06-30,-0.9,-0.0714285714285714,NA,1,-1,-1,-0.1,NA,1,-0.3,-0.4,-0.166086956521739,1,-0.5,-1,0.392857142857143,-1,1,1,-1,-1,-0.285714285714286,-0.476190476190476,0.645454545454545,NA,1,-1,-0.0857142857142857,0.1,0.0285714285714286,-0.6,-0.371428571428571,NA,NA,-0.5,-0.2,NA,1,-1,-1,NA,NA,1,1,-0.6,NA,0.4,NA,-0.885714285714286,NA,0.257142857142857,-1,0.357142857142857,-0.964285714285714,1,1,NA,NA,NA,0.5,NA,NA,NA,-1,0.392857142857143,-1,1,1,-0.333333333333333,1,1,-0.4,-0.5,-1,-0.483333333333333,0.535714285714286,-0.8,1,1,-0.4,0.2,NA,NA,NA,NA,NA,NA,NA,1,1,-1,-0.6,NA,NA,-1,0.397802197802198,0.142857142857143,0.5,NA,0.163636363636364,0.221428571428571,-0.3,1,-0.5,-0.516666666666667,NA,-1,0.4,1,0.428571428571428,0.126315789473684,-0.8,1
2000-07-31,0.1,0.25,NA,1,-1,-0.8,-0.6,NA,1,-0.6,0.4,-0.115652173913043,1,-1,-1,0.178571428571429,-1,1,1,-0.5,-0.8,-0.238095238095238,-0.116666666666667,0.481818181818182,NA,-1,-1,-0.357142857142857,0.1,-0.314285714285714,-0.485714285714286,-0.6,NA,NA,0.5,-0.8,NA,-1,-1,0.5,NA,NA,1,-1,0.257142857142857,NA,0.8,NA,-0.771428571428571,NA,-0.6,-1,0.178571428571429,-0.285714285714286,1,-1,NA,NA,NA,-0.5,NA,NA,NA,-1,0.464285714285714,1,0.5,1,0.25,1,1,-0.4,0.5,-1,-0.616666666666667,0.678571428571428,0,1,1,-0.6,-0.8,NA,NA,NA,NA,NA,NA,NA,1,-0.5,-1,-0.6,NA,NA,-0.8,0.613186813186813,0.269230769230769,-0.5,NA,-0.187878787878788,-0.0214285714285714,-0.266666666666667,-1,-0.5,0.183333333333333,NA,-1,0.8,-1,0.107142857142857,-0.142857142857143,-1,-1
2000-08-31,-0.5,-0.178571428571429,NA,1,1,-0.2,-0.3,NA,-1,-0.1,0.6,-0.10695652173913,-1,1,-1,-0.214285714285714,1,1,1,0.5,0.3,0.0476190476190476,0.35,-0.1,NA,-1,-1,-0.571428571428571,0.2,-0.0857142857142857,0.314285714285714,-0.0285714285714286,NA,NA,-0.5,-0.8,NA,-1,0.5,0.5,NA,NA,1,-1,-0.485714285714286,NA,-0.4,NA,0.371428571428571,NA,-0.714285714285714,1,0.214285714285714,-0.178571428571429,-1,1,NA,NA,NA,-0.5,NA,NA,NA,-0.5,0.571428571428571,-1,-1,-1,-0.0714285714285714,1,1,0,0.5,-1,-0.416666666666667,0.392857142857143,-0.8,-1,1,-0.8,-0.2,NA,NA,NA,NA,NA,NA,NA,1,-0.5,-1,-0.2,NA,NA,0.2,-0.0241758241758242,-0.115384615384615,1,NA,0.503030303030303,-0.285714285714286,-0.2,1,-0.5,0.15,NA,1,0.8,-1,-0.428571428571428,-0.184962406015038,-0.5,1
2000-09-29,-0.1,-0.285714285714286,NA,1,1,-0.2,0.1,NA,-1,0.4,0.4,-0.166086956521739,-1,0.5,-1,-0.714285714285714,0.5,1,1,-0.5,-0.3,-0.119047619047619,0.1,-0.218181818181818,NA,-1,-1,-0.75,-0.4,-0.0714285714285714,-0.885714285714286,-0.0857142857142857,NA,NA,-0.5,-0.2,NA,1,0.5,0.5,NA,NA,1,-1,-0.257142857142857,NA,0,NA,0.371428571428571,NA,-0.714285714285714,1,-0.642857142857143,0.321428571428571,-1,1,NA,NA,NA,-0.5,NA,NA,NA,-1,0.607142857142857,-1,0.5,1,0.357142857142857,1,-1,0,-0.5,-1,-0.401677156202747,0.214285714285714,-0.8,-1,-1,-0.2,-0.4,NA,NA,NA,NA,NA,NA,NA,1,-0.5,-1,0.6,NA,NA,-0.8,0.221978021978022,-0.241758241758242,1,NA,0.115151515151515,-0.525,-0.533333333333333,-1,0.5,0.133333333333333,NA,1,0.4,-1,-0.214285714285714,-0.219548872180451,0,-1
2000-10-31,-1,-0.892857142857143,NA,1,-1,-0.4,-0.4,NA,-1,0.3,-0.8,-0.17304347826087,-1,0.5,-1,-0.238095238095238,0.5,NA,-1,-0.5,-0.6,0.119047619047619,-0.0666666666666667,-0.409090909090909,NA,-1,-1,-0.678571428571428,-0.3,-0.2,-0.0857142857142857,0.714285714285714,NA,NA,-1,-0.4,NA,-1,1,-0.5,NA,NA,-1,1,0.3,NA,0.6,NA,0.142857142857143,NA,-0.714285714285714,1,-0.607142857142857,-0.107142857142857,1,-1,NA,NA,NA,-0.5,NA,NA,NA,-1,-0.0357142857142857,-1,-0.5,0.5,-0.0476190476190476,0.5,-1,0,-0.5,1,-0.167667676667856,-0.857142857142857,-1,-1,-1,0,-0.4,NA,NA,NA,NA,NA,NA,NA,-1,0.5,1,-0.3,NA,NA,-0.8,-0.0153846153846154,-0.412087912087912,-1,NA,0.333333333333333,-0.221428571428571,-0.633333333333333,-1,1,0,NA,1,-0.4,1,0.285714285714286,-0.326315789473684,0.3,1
